淄博市,合肥,,桂林,桂林,,那曲地区,
广州市,六安,,邢台,邢台,,克孜勒苏柯尔克孜自治州,
漯河市,阜阳,,锦州,锦州,,红河哈尼族彝族自治州,红河
苏州市,滁州,,贺州,贺州,,北京,
中卫市,亳州,,贵阳,贵阳,,迪庆藏族自治州,
晋城市,安庆,,益阳,益阳,,博尔塔拉蒙古自治州,
商洛市,池州,,赣州,赣州,,毕节地区,毕节
河池市,蚌埠,,保山,保山,,武威,
铜川市,台州,,那曲地区,#N/A,,延边朝鲜族自治州,延边
伊春市,杭州,,邯郸,邯郸,,天津,
陇南市,温州,,黄石,黄石,,楚雄彝族自治州,楚雄
运城市,宁波,,吉安,吉安,,凉山彝族自治州,凉山州
承德市,嘉兴,,克孜勒苏柯尔克孜自治州,#N/A,,襄樊,襄阳
通辽市,衢州,,自贡,自贡,,喀什地区,
铁岭市,白山,,红河哈尼族彝族自治州,#N/A,,黔东南苗族侗族自治州,黔东南州
荆门市,绍兴,,新余,新余,,大理白族自治州,大理
大连市,金华,,长沙,长沙,,云浮,
梅州市,南京,,昭通,昭通,,德宏傣族景颇族自治州,德宏
宁德市,苏州,,保定,保定,,阿里地区,
黄石市,连云港,,南平,南平,,塔城地区,塔城
崇左市,扬州,,潍坊,潍坊,,黔南布依族苗族自治州,黔南州
九江市,南通,,北京,#N/A,,巴彦卓尔蒙古自治州,巴州
新余市,无锡,,迪庆藏族自治州,#N/A,,海东地区,
邢台市,牡丹江,,鄂州,鄂州,,莱芜,
大庆市,哈尔滨,,汕尾,汕尾,,阿坝藏族羌族自治州,阿坝州
鸡西市,大庆,,连云港,连云港,,文山壮族苗族自治州,文山
中山市,绥化,,榆林,榆林,,林芝地区,
长沙市,成都,,防城港,防城港,,哈密地区,
锦州市,广安,,佳木斯,佳木斯,,白山,白山
保定市,绵阳,,十堰,十堰,,黔西南布依族苗族自治州,
银川市,达州,,丽江,丽江,,海西蒙古族藏族自治州,
东营市,德阳,,韶关,韶关,,崇左,
信阳市,遂宁,,梧州,梧州,,昌都地区,
抚顺市,雅安,,博尔塔拉蒙古自治州,#N/A,,甘南藏族自治州,甘南
阿勒泰地区,青岛,,芜湖,芜湖,,湘西土家族苗族自治州,湘西自治州
厦门市,威海,,随州,随州,,海南藏族自治州,
揭阳市,临沂,,濮阳,濮阳,,西双版纳傣族自治州,西双版纳
黔东南苗族侗族自治州,济南,,淮北,淮北,,果洛藏族自治州,
临沂市,烟台,,东莞,东莞,,酒泉,
上海市,潍坊,,信阳,信阳,,重庆,
